
"Abilene Christian",101.481,109.459,0.295177,10-12,10,22,47.9,56.7,37,52.3,21,23.1,32.3,31.4,65.9332,46.4,55.7,34.1,39.2,0,0,56,52,32.2,31.8,65.9332,,,,2026,,,,-7.61202,69.6,
Rider,98.6589,120.271,0.0929661,3-19,3,22,43.2,54.8,31,31.6,18.3,13.2,34.1,33.5,64.9911,43.7,53.6,28.1,37.8,0,0,44.9,53.7,27.4,39.8,64.9911,,,,2026,,,,-14.2398,71,
"Boston College",102.309,99.8048,0.570772,9-13,9,22,46.7,46.7,35,33.9,15.6,15.2,28.4,29.3,65.6665,48.6,48,29.4,29.7,0,0,48.2,47.5,42.8,36.3,65.6665,,,,2026,,,,-6.40399,65.4,
Arizona,126.077,91.7175,0.97489,22-0,22,22,56.5,45.3,43.6,27.8,15.7,18.1,39.6,25.4,71.2999,57.2,43.7,36.3,31.9,0,0,57.3,50.5,27,36.7,71.2999,,,,2026,,,,8.26815,73.8,
"Penn St.",115.81,112.604,0.580013,10-13,10,23,52.9,58.6,33,26.3,13.9,18.1,27.6,31.3,67.2114,55.5,59.4,32.6,38.4,0,0,48.7,59.6,39,44.5,67.2114,,,,2026,,,,-4.38728,75.3,
Hawaii,107.101,98.6051,0.721203,16-5,16,21,53,44.2,42.2,35.6,19.4,17.3,32.1,27,69.6003,54.7,45.4,33.6,27.6,0,0,52,37.9,39.5,29.9,69.6003,,,,2026,,,,-2.28924,73.5,
"San Diego",108.096,109.93,0.451775,10-15,10,25,50.7,54.2,27.3,38.8,17.7,19.9,28.6,36.7,69.6884,51,57,33.5,33.5,0,0,57.9,57.4,43.6,40.6,69.6884,,,,2026,,,,-8.78347,74.8,
"UC Davis",110.463,110.267,0.505117,14-9,14,23,53.6,52.8,42.4,40,18.1,18.8,26.5,31.2,69.0165,52.8,52.9,36.4,35.1,0,0,61.6,55.6,43.1,38.4,69.0165,,,,2026,,,,-4.96706,75.3,
LSU,119.868,106.005,0.804296,14-8,14,22,54.7,49.3,42.4,35.6,15.5,15,33.1,30.6,66.654,57.2,46.8,33.3,35.4,0,0,52.3,47.3,35,39.5,66.654,,,,2026,,,,-0.769144,76.8,
"Fresno St.",104.292,102.148,0.559445,11-11,11,22,50.5,50.8,36.1,30.3,19.6,20,28.6,30.2,68.5728,51.9,56.3,32.4,29,0,0,52.9,50.1,41.8,42.5,68.5728,,,,2026,,,,-5.72913,75.5,
UMKC,95.2072,115.429,0.0984168,4-20,4,24,46.5,55.6,29.8,32.5,19.2,16.6,28.2,36,68.94,48.4,56.8,28.6,35.7,0,0,45.6,51.8,34.8,37.7,68.94,,,,2026,,,,-15.575,68.6,
Baylor,120.216,105.432,0.818927,13-9,13,22,54.1,49.8,37,29,16.7,15.7,37.7,32,68.2184,54.1,48.4,36,34.9,0,0,53.9,47.6,39.7,34.9,68.2184,,,,2026,,,,-0.556639,72.1,
"Oral Roberts",99.164,115.316,0.149905,5-19,5,24,48.1,55.1,35.5,39.9,18.8,15.1,26.8,34.2,67.2271,49.5,53.3,30.9,39,0,0,46.3,45.5,45.5,35.2,67.2271,,,,2026,,,,-14.5962,73.3,
Ohio,106.872,110.468,0.40599,13-11,13,24,51.1,52.6,37.1,37.5,16.7,17.5,29.3,33.4,69.4839,55.2,51.7,29.7,36.2,0,0,45,47.5,38.1,34.3,69.4839,,,,2026,,,,-6.68971,70.5,
Winthrop,112.194,111.535,0.516917,17-8,17,25,50.8,51.5,42.3,37.6,14.4,17.1,34.5,29.4,68.478,50.7,52.9,33.9,33.1,0,0,53.1,45.2,44.5,42.4,68.478,,,,2026,,,,-3.56785,72.9,
"Northern Illinois",99.0175,110.946,0.212814,7-14,7,21,48.4,54.4,38.9,41.3,22.5,17.3,34.3,31.7,67.2948,49.4,57.4,31.6,33,0,0,50.7,51.4,45.9,38.6,67.2948,,,,2026,,,,-9.83703,66.1,
"Georgia Tech",108.378,105.415,0.579024,11-12,11,23,50.7,47.5,35,34.2,18.4,15.2,30.9,29.3,70.9121,48.9,48.1,36.3,31.1,0,0,61.7,56.4,31.5,43.5,70.9121,,,,2026,,,,-5.38459,68.8,
"Kent St.",109.539,107.342,0.557996,17-6,17,23,51.8,52.2,44.2,37.4,19.4,15.9,37.1,29.2,70.9081,52.1,51.8,34.3,35.2,0,0,57.4,57.1,44.3,42.8,70.9081,,,,2026,,,,-2.01612,75,
"High Point",117.203,109.36,0.689232,21-4,21,25,55.3,51.3,42.9,34.1,12.4,22.7,31.5,31.7,68.9899,57.5,52.5,34.8,33.1,0,0,52.6,52.9,41.5,42,68.9899,,,,2026,,,,-1.96689,73,
"Weber St.",109.878,114.426,0.385458,11-13,11,24,51.4,54.6,40.4,37.7,16.2,17.1,32.2,28.8,69.2386,50.9,57.3,35,33.6,0,0,48,49.7,33.1,38.4,69.2386,,,,2026,,,,-8.87046,71.3,
Maine,92.912,112.437,0.100337,6-18,6,24,49.3,50.4,36.1,33.8,19.8,19.4,21.6,36.3,64.2956,50.9,53.3,31,30.3,0,0,52.6,53.6,35.5,36.5,64.2956,,,,2026,,,,-15.0204,64.9,
Radford,107.345,114.629,0.319728,13-12,13,25,51.5,53.5,41.7,43.4,16.8,18.4,29.5,32.5,70.9057,52.6,53.4,33.4,35.8,0,0,45.4,56.1,45.8,39.3,70.9057,,,,2026,,,,-8.33414,72.3,
Kansas,122.02,93.7334,0.954037,17-5,17,22,54.5,44.5,33.9,25.9,15.1,13.5,28.3,29.4,67.1622,54.5,44.7,36.2,29.4,0,0,54.4,48.8,37,44.5,67.1622,,,,2026,,,,4.99747,75.8,
SMU,124.549,104.018,0.888109,15-7,15,22,55.7,50.7,33.2,32.8,16.1,17.6,35,31.4,68.8443,55.7,52.2,37.2,32.6,0,0,55.4,61,34.4,46,68.8443,,,,2026,,,,1.42531,76.2,
Richmond,110.284,110.624,0.491155,13-10,13,23,53.1,51.5,37.8,31,15.1,17.4,27.5,30.7,67.1295,50.4,53.5,38,32.8,0,0,54.7,46.1,40.5,45.8,67.1295,,,,2026,,,,-5.66027,75.1,
Providence,122.6,110.701,0.763879,10-13,10,23,54.9,52.1,37.7,33.9,15.6,13.6,32.1,31.5,71.8372,56.4,49.1,35.1,37.7,0,0,49.6,56.6,40.7,40.4,71.8372,,,,2026,,,,-4.27598,76.9,
Louisville,123.881,97.936,0.937179,16-6,16,22,55.5,47.2,34.2,32.9,16.1,17.8,34.4,27.1,70.1092,60.1,44.8,34.3,33.8,0,0,61.3,48.1,54,41.1,70.1092,,,,2026,,,,2.30277,76.4,
Davidson,112.084,104.433,0.692755,13-9,13,22,53.3,51.8,31.7,35.2,16.4,17.8,29.8,31.3,63.6875,51.8,53.6,36.8,32.6,0,0,52.2,45.4,43.3,37.8,63.6875,,,,2026,,,,-3.45867,65.9,
"North Florida",110.394,127,0.166383,6-18,6,24,54.4,57.3,25.7,31.6,18.4,12.3,24.8,38.1,70.7024,54.2,60,36.3,35.3,0,0,53,53.5,52.7,39.4,70.7024,,,,2026,,,,-12.7934,79.7,
"Missouri St.",109.279,108.75,0.513924,13-9,13,22,50.6,51.2,45.4,39.8,17.6,18,32.3,33.6,64.8565,53.1,51.1,31.4,34.2,0,0,54.6,51.3,41.9,36.7,64.8565,,,,2026,,,,-5.86655,67.2,
Vanderbilt,124.983,95.1932,0.958158,19-3,19,22,56.7,46.8,37,40.9,13.3,18.6,30.3,28,70.1455,59.2,49.4,35.8,28.6,0,0,57.6,45.8,44.8,39.8,70.1455,,,,2026,,,,4.89689,77,
"Washington St.",114.479,109.529,0.624417,11-14,11,25,55.1,52.5,33.3,35.2,18.4,14.5,30,26.7,67.3038,55.6,51.8,36.3,35.7,0,0,50,49.8,45.3,38.9,67.3038,,,,2026,,,,-7.63944,73.5,
Akron,119.283,105.591,0.802527,19-4,19,23,58.8,50.2,27.7,32.1,15.6,18.9,34.4,32.5,70.6251,59.5,50.2,38.6,33.5,0,0,58.4,49.9,44.6,42.2,70.6251,,,,2026,,,,-0.297211,76.3,
"Bowling Green",108.528,104.664,0.602745,14-9,14,23,52.9,50.9,36.5,37.5,17,19.9,30.3,27.2,67.8989,53,52.6,35.1,32.3,0,0,49.5,53.1,33.8,42.1,67.8989,,,,2026,,,,-5.87828,73.1,
Memphis,106.498,98.9417,0.699804,11-11,11,22,49.4,47.6,34,41,20,19.8,35.6,35,69.4047,49.9,49.7,32.4,30.1,0,0,52.5,57.4,35.5,44.4,69.4047,,,,2026,,,,-4.2426,71.4,
"Central Arkansas",108.181,108.269,0.497653,13-10,13,23,53.2,54.2,30.1,30.3,15.9,18.4,27.7,27.1,68.1181,54.9,57.2,34.4,34.4,0,0,60.6,60.8,49.7,53.8,68.1181,,,,2026,,,,-5.57229,68.1,
"Murray St.",117.38,110.573,0.665302,17-7,17,24,54.8,50.4,39.1,32.9,16.4,16,34.3,31.6,72.2475,56.8,49.4,34.9,35.6,0,0,50.1,41.4,45.1,25.1,72.2475,,,,2026,,,,-2.20709,76.6,
American,104.443,109.859,0.358625,13-11,13,24,51.1,52.9,27.7,43.8,16.7,19.2,26.3,31,67.0846,52.6,53.7,32.9,34.4,0,0,51.4,50.9,46,37.4,67.0846,,,,2026,,,,-7.51353,76.7,
"Notre Dame",113.465,104.362,0.72347,11-12,11,23,52.1,50.4,33.6,34.1,17.1,14.1,32,25.9,65.2285,51.3,53.3,35.4,31.4,0,0,46.8,54.2,41.6,46.1,65.2285,,,,2026,,,,-2.94776,69.1,
Creighton,116.862,106.13,0.751733,12-11,12,23,54.2,50.9,27.2,24.1,16.2,13.8,28.9,31.5,66.4665,57.5,49.5,33.8,35.8,0,0,57.5,49.2,48.9,32.6,66.4665,,,,2026,,,,-2.12034,74.8,
Duke,125.041,93.0602,0.967612,21-1,21,22,57.4,45.9,40.9,23.1,16.2,19.6,37.4,25.9,66.572,62.8,45.6,33.8,30.8,0,0,58.7,52.5,44.5,44.8,66.572,,,,2026,,,,7.92713,71.6,
"Indiana St.",107.474,109.498,0.446544,10-14,10,24,52.8,49.7,28.9,28.6,18.7,14.7,25.4,31.4,68.6115,58.2,51.1,31,31.4,0,0,65.3,41.3,45.8,33.9,68.6115,,,,2026,,,,-9.45256,68.7,
UCLA,120.109,100.702,0.883566,16-7,16,23,54,48.8,36.2,36.1,14,18.9,31.2,31.7,65.1498,52.3,52.2,38.3,29.8,0,0,58,59.3,34.4,45,65.1498,,,,2026,,,,1.04274,76.8,
Pacific,111.449,105.379,0.655671,15-10,15,25,53,49.6,33.1,38,20.7,15.6,35.8,24.8,64.3826,52.9,48.6,35.4,33.9,0,0,56.4,50.4,35.9,42.6,64.3826,,,,2026,,,,-4.29285,76.3,
"Texas A&M",122.658,99.098,0.920772,17-5,17,22,56.5,50.2,39.2,35.2,15.1,19.6,33,30.7,71.802,56.7,51.3,37.6,32.4,0,0,64.9,57,47.8,42.4,71.802,,,,2026,,,,2.06973,75.4,
"North Texas",99.8858,100.12,0.493271,12-11,12,23,46,47.8,38.1,47.2,18.1,21.9,33,34.4,64.6974,47.3,49.3,28.9,30.1,0,0,50.9,48.8,33.6,37.7,64.6974,,,,2026,,,,-6.30163,69.7,
Nevada,119.493,105.038,0.81499,16-7,16,23,50.5,50.8,44.4,39.2,13.7,17.4,32.1,28.9,65.3757,46.5,50.8,39.4,33.9,0,0,57.4,56,31.9,42.8,65.3757,,,,2026,,,,-0.255904,75.8,
UTSA,98.3825,118.254,0.107586,4-18,4,22,44.1,54,30.3,34.6,18.5,14.9,29.9,38.3,68.2767,45.3,53.3,28.3,36.6,0,0,42.9,57.2,43,43.4,68.2767,,,,2026,,,,-13.1701,69.9,
"Mississippi Valley St.",88.0085,119.07,0.029996,1-21,1,22,44.1,57.3,31.6,47.5,22.9,16.9,25.8,35.8,67.091,44.8,57.2,28.3,38.3,0,0,52.6,64.2,30.3,44.9,67.091,,,,2026,,,,-16.4157,72.9,
"Gardner Webb",93.9411,124.072,0.0391947,3-21,3,24,46.1,58.1,31.3,35,21.1,14.2,24,36.2,70.2019,46.4,60.2,30.5,36.7,0,0,41.5,56.1,40.8,40.4,70.2019,,,,2026,,,,-16.1184,70.2,
"Prairie View A&M",100.622,116.073,0.162089,9-13,9,22,47,53.9,43.2,47.6,16.4,19.8,25.3,36.8,72.3736,46.1,52.9,32.7,37.2,0,0,44.2,50.5,31.3,35.6,72.3736,,,,2026,,,,-9.22201,76.1,
Chattanooga,102.339,114.498,0.215683,10-14,10,24,52.2,51.3,33.8,44.1,14.9,14.3,20.8,32.5,66.1881,53,51.6,34.3,33.9,0,0,57.7,55.9,50.3,41.7,66.1881,,,,2026,,,,-10.8694,76.7,
"Georgia Southern",107.042,116.269,0.278721,14-11,14,25,49.6,51.7,42.1,40.4,14.6,19.1,28.9,35.8,70.4738,52.5,52.9,30.9,33.1,0,0,40.3,45.2,46.6,38.2,70.4738,,,,2026,,,,-8.73026,71.9,
"Northern Arizona",106.529,118.473,0.227574,9-15,9,24,52.3,56.3,31.1,30.9,16.3,16.8,23.8,33.2,63.9164,50.4,54.8,37.2,38.9,0,0,50.9,53.2,34.8,41.8,63.9164,,,,2026,,,,-10.994,69.1,
Nebraska,122.175,93.765,0.954508,20-2,20,22,56.5,47.2,26.4,24.7,13.2,19,26,27.2,66.8486,59.4,49.1,35.8,30.2,0,0,64.6,59.3,51.4,49.9,66.8486,,,,2026,,,,6.51642,76.2,
Yale,120.526,110.253,0.735855,16-4,16,20,56.5,51.9,35,31.2,13.8,16.1,34.5,29.9,65.4744,53.2,52.5,41.8,34.1,0,0,54.7,49.8,34.9,46.1,65.4744,,,,2026,,,,-0.861138,78.8,
"Tennessee Martin",101.186,106.164,0.365343,19-5,19,24,50.9,45.3,41.3,37.2,22.1,18.7,38.1,31.2,64.5621,53.5,46.9,32,28.6,0,0,56.9,54.9,46.8,40.3,64.5621,,,,2026,,,,-2.89633,67.2,
"Morehead St.",105.251,118.857,0.198124,12-12,12,24,48.4,52.2,36.4,37.3,18.7,16.2,36,36.1,65.5826,48.8,50.5,31.7,36.5,0,0,47.8,57.5,30.5,39.9,65.5826,,,,2026,,,,-8.38584,73.1,
Tennessee,122.105,95.9564,0.941109,16-6,16,22,53.5,46.9,41.8,35.5,18.5,16.8,45.2,28.6,65.8471,53.9,48.9,35.1,29.7,0,0,60.8,45.4,33.8,46.3,65.8471,,,,2026,,,,3.28508,69.2,
"Texas St.",101.943,109.288,0.309995,14-11,14,25,48.3,51.7,34.4,38.7,19.1,18.4,33.7,27.6,66.6839,48.8,51.1,31.2,35.1,0,0,48.5,45,25.1,37.5,66.6839,,,,2026,,,,-8.46558,75.9,
"Jackson St.",99.3824,118.184,0.119985,6-16,6,22,45.8,54.5,33,40.7,19.7,15.5,25,38.7,69.9798,44.5,56.6,31.6,34.5,0,0,47.9,64,44,42.4,69.9798,,,,2026,,,,-9.58928,76.5,
Mississippi,112.971,103.058,0.741951,11-11,11,22,50.3,49.1,34.2,41.6,14.6,17.4,30.5,32.9,65.0142,49.8,49,34.1,32.8,0,0,50.4,57.3,37.5,42.7,65.0142,,,,2026,,,,-2.41081,73.8,
